blockLot,fullAddress,City,State,neighborhood,councilDistrict,policeDistrict,Latitude,Longitude
3935 130,2792 1/2 Tivoly Ave,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3235725182,-76.5921681768
0411 032,715 N Fremont Ave,Baltimore,MD,Upton,11,Central,39.2973522251,-76.6331659559
0098 023,718 N Gilmor St,Baltimore,MD,Harlem Park,9,Western,39.2970575748,-76.6431361411
0338 012,1722 Division St,Baltimore,MD,Upton,11,Central,39.3045601683,-76.6341827118
1138 106,1408 N Bethel St,Baltimore,MD,Oliver,12,Eastern,39.3066917395,-76.5961820389
1513 027,1716 E Preston St,Baltimore,MD,Broadway East,12,Eastern,39.3055739492,-76.5937655564
0082 073,806 N Brice St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2979780309,-76.6501224611
0534 007,13 W Mount Vernon Pl,Baltimore,MD,Mount Vernon,11,Central,39.2970323198,-76.6167280479
3445 050,804 Reservoir St,Baltimore,MD,Reservoir Hill,7,Central,39.3129028463,-76.6321855828
3410 014,2519 Francis St,Baltimore,MD,Penn North,7,Western,39.3132776831,-76.642132563
1691 049,2538 E Fayette St,Baltimore,MD,Mcelderry Park,13,Southeastern,39.2946536338,-76.5808212505
2402 026,1824 Ashburton St,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3087295821,-76.6625141401
0072 061,901 Mckean Ave,Baltimore,MD,Sandtown - Winchester,9,Western,39.2991301269,-76.6465289111
6277A041,12 S Conkling St,Baltimore,MD,Baltimore Highlands,1,Southeastern,39.2919877174,-76.5677218731
0162 025,1947 Penrose Ave,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2910266425,-76.6486941154
3003 016,3030 W North Ave,Baltimore,MD,Walbrook,7,Southwestern,39.309302887,-76.6685164698
1590 014,927 N Patterson Park Ave,Baltimore,MD,Milton - Montford,13,Eastern,39.3014691667,-76.5850437034
7480 021,2605 Pierpont St,Baltimore,MD,Mount Winans,10,Southern,39.2599626251,-76.6433994163
7363 018A,1518 Chesapeake Ave,Baltimore,MD,Fairfield Area,10,Southern,39.236594638,-76.581637962
4579 031,3510 W Garrison Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3455661182,-76.677059974
0275 003,304 S Fulton Ave,Baltimore,MD,Carrollton Ridge,9,Southern,39.2841135448,-76.6451783275
4164A088,1690 Darley Ave,Baltimore,MD,Darley Park,12,Eastern,39.3148834694,-76.5938826223
2142 021,2638 Saint Benedict St,Baltimore,MD,Millhill,9,Southwestern,39.2792675961,-76.6578206998
0207 046,1907 W Baltimore St,Baltimore,MD,Boyd - Booth,9,Southwestern,39.2878503019,-76.6472698517
5165 008H,532 Beaumont Ave,Baltimore,MD,Winston - Govans,4,Northern,39.3517744422,-76.6073861931
0279 092,314 S Parrish St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.283901708,-76.6415989866
